id,nation1,nation2,nation3,region1,region2,region3,region4
Kenya,Kenya,,,East Africa,Africa,,Sub-Saharan Africa
Egypt,Egypt,,,North Africa,Africa,Middle East,
French Algeria (now Algeria),Algeria,,,North Africa,Africa,,
Guadeloupe Island,Guadeloupe Island,,,North America,America,Carribean,Latin America
Morocco,Morocco,,,North Africa,Africa,,
Tunisia,Tunisia,,,North Africa,Africa,,
Madagascar,Madagascar,,,Southern Africa,Africa,,Sub-Saharan Africa
Mauritius,Mauritius,,,Southern Africa,Africa,,Sub-Saharan Africa
Northern Rhodesia (now Zambia),Zambia,Northern Rhodesia,,Southern Africa,Africa,,Sub-Saharan Africa
South Africa,South Africa,,,Southern Africa,Africa,,Sub-Saharan Africa
Southern Rhodesia,Zimbabwe,Southern Rhodesia,,Southern Africa,Africa,,Sub-Saharan Africa
Southern Rhodesia (now Zimbabwe),Zimbabwe,Southern Rhodesia,,Southern Africa,Africa,,Sub-Saharan Africa
Union of South Africa,Union of South Africa,South Africa,,Southern Africa,Africa,,Sub-Saharan Africa
Gabon,Gabon,,,West Africa,Africa,,Sub-Saharan Africa
Ghana,Ghana,,,West Africa,Africa,,Sub-Saharan Africa
Gold Coast (now Ghana),Ghana,Gold Coast,,West Africa,Africa,,Sub-Saharan Africa
Liberia,Liberia,,,West Africa,Africa,,Sub-Saharan Africa
Nigeria,Nigeria,,,West Africa,Africa,,Sub-Saharan Africa
Barbados,Barbados,,,North America,America,Carribean,Latin America
British West Indies (now Saint Lucia),Saint Lucia,British West Indies,,North America,America,Carribean,Latin America
Canada,Canada,,,North America,America,,
Costa Rica,Costa Rica,,,North America,America,Central America,Latin America
Guatemala,Guatemala,,,North America,America,Central America,Latin America
Jamaica,Jamaica,,,North America,America,Carribean,Latin America
Mexico,Mexico,,,North America,America,,
Puerto Rico,Puerto Rico,,,North America,America,,
Saint Lucia,Saint Lucia,,,North America,America,Carribean,
Trinidad,Trinidad,,,North America,America,Carribean,
USA,USA,,,North America,America,,
Argentina,Argentina,,,South America,America,,Latin America
